student_id,t1_status,t1_outstanding,t1_days_late,t2_status,t2_outstanding,t2_days_late,income_encoded,sibling_count,transport_user,outstanding_growth,days_late_trend,both_terms_late,escalating,avg_outstanding,max_days_late,label
STU_001,0,74,0,0,146,6,1,1,1,71,6,0,0,110,6,0
STU_002,0,66,0,0,37,4,2,0,1,-29,3,0,0,52,4,0
STU_003,1,223,10,1,1682,23,1,4,1,1459,13,1,0,952,23,0
STU_004,0,121,4,0,133,9,1,0,0,11,4,0,0,127,9,0
STU_005,0,95,7,2,5925,62,0,1,0,5829,54,0,1,3010,62,0
STU_006,2,1139,120,1,960,22,0,2,0,-179,-98,1,0,1050,120,0
STU_007,0,6,3,0,192,6,0,1,0,185,2,0,0,99,6,0
STU_008,0,128,5,0,23,4,2,3,0,-105,-1,0,0,76,5,0
STU_009,0,152,5,0,142,3,1,0,1,-10,-1,0,0,147,5,0
STU_010,0,151,9,0,46,0,1,1,0,-105,-9,0,0,99,9,0
STU_011,1,2581,113,0,83,4,0,0,0,-2498,-108,0,0,1332,113,0
STU_012,1,1918,14,0,7,8,2,0,0,-1911,-5,0,0,962,14,0
STU_013,2,5832,120,1,8000,30,2,4,1,2168,-90,1,0,6916,120,2
STU_014,0,66,7,2,3882,2,0,0,0,3815,-5,0,1,1974,7,0
STU_015,0,100,2,0,68,8,0,1,1,-32,6,0,0,84,8,0
STU_016,1,2088,34,1,4151,29,0,1,0,2063,-5,1,0,3120,34,0
STU_017,0,1,9,2,3324,100,1,1,1,3322,90,0,1,1663,100,0
STU_018,0,48,0,1,5491,20,1,3,1,5442,19,0,1,2770,20,0
STU_019,0,20,9,2,1783,120,1,0,0,1762,110,0,1,902,120,0
STU_020,0,52,1,2,182,20,0,2,0,129,18,0,1,117,20,0
STU_021,0,35,8,0,66,3,1,4,0,30,-4,0,0,51,8,0
STU_022,1,2602,30,1,1540,19,0,2,0,-1062,-11,1,0,2071,30,0
STU_023,1,2281,68,0,65,8,0,4,1,-2216,-59,0,0,1173,68,0
STU_024,0,1,2,0,135,6,1,0,1,133,4,0,0,68,6,0
STU_025,0,147,5,1,2930,12,1,1,1,2782,6,0,1,1539,12,0
STU_026,0,30,3,0,77,5,2,1,1,46,1,0,0,54,5,0
STU_027,1,2470,48,1,1946,26,0,2,0,-524,-22,1,0,2208,48,0
STU_028,0,178,0,0,4,1,1,5,0,-174,0,0,0,91,1,0
STU_029,0,130,0,0,44,2,1,1,1,-86,1,0,0,87,2,0
STU_030,0,134,0,1,1970,120,0,2,0,1835,119,0,1,1052,120,0
STU_031,0,1,4,0,157,9,1,0,1,155,5,0,0,79,9,0
STU_032,0,196,8,0,22,1,0,2,0,-174,-6,0,0,109,8,0
STU_033,1,398,50,2,3577,71,0,1,0,3179,21,1,1,1988,71,2
STU_034,0,179,2,0,77,4,2,5,1,-102,1,0,0,128,4,0
STU_035,0,131,5,0,15,0,2,2,0,-116,-5,0,0,73,5,0
STU_036,0,68,7,0,163,6,2,1,1,94,-1,0,0,116,7,0
STU_037,0,178,2,0,116,0,1,0,1,-62,-2,0,0,147,2,0
STU_038,1,2726,67,2,4513,11,0,0,1,1787,-56,1,1,3620,67,0
STU_039,0,112,5,0,179,4,1,0,1,66,0,0,0,146,5,0
STU_040,1,8000,8,0,9,9,1,1,1,-7991,1,0,0,4004,9,0
STU_041,0,184,0,0,40,4,0,3,1,-144,4,0,0,112,4,0
STU_042,0,28,1,1,5324,35,1,2,0,5295,33,0,1,2676,35,0
STU_043,0,44,6,0,142,9,0,1,0,97,3,0,0,93,9,0
STU_044,0,111,0,1,229,20,2,0,1,117,19,0,1,170,20,0
STU_045,0,152,1,0,12,3,0,3,0,-140,1,0,0,82,3,0
STU_046,1,236,4,1,2890,5,1,2,0,2654,1,1,0,1563,5,0
STU_047,0,46,0,1,4721,6,1,0,0,4674,5,0,1,2384,6,0
STU_048,0,0,1,0,39,5,1,2,1,38,3,0,0,20,5,0
STU_049,1,4528,58,1,1889,78,1,1,1,-2639,20,1,0,3208,78,0
STU_050,2,376,11,2,7872,5,0,0,0,7496,-6,1,0,4124,11,0
STU_051,0,161,6,0,9,1,2,1,1,-152,-4,0,0,85,6,0
STU_052,2,1113,25,2,8000,17,2,1,1,6887,-8,1,0,4556,25,2
STU_053,0,180,6,0,114,5,2,0,1,-66,-1,0,0,147,6,0
STU_054,0,81,5,0,85,0,2,4,1,3,-5,0,0,83,5,0
STU_055,1,3584,48,2,2061,55,1,3,1,-1523,7,1,1,2822,55,0
STU_056,0,95,8,0,193,9,2,2,0,97,1,0,0,144,9,0
STU_057,0,89,4,0,46,5,0,1,1,-43,0,0,0,68,5,0
STU_058,0,155,8,2,1571,120,0,1,0,1415,111,0,1,863,120,0
STU_059,1,925,5,1,1217,19,0,2,1,292,14,1,0,1071,19,0
STU_060,1,1780,29,0,134,0,1,1,1,-1646,-28,0,0,957,29,0
STU_061,0,51,7,0,88,7,1,0,0,36,0,0,0,70,7,0
STU_062,0,7,9,0,115,7,0,1,0,107,-2,0,0,61,9,0
STU_063,0,116,5,0,149,6,2,3,1,32,1,0,0,133,6,0
STU_064,0,45,4,0,155,7,1,1,0,109,2,0,0,100,7,0
STU_065,0,29,7,0,184,0,0,0,1,154,-6,0,0,107,7,0
STU_066,1,33,20,1,3483,11,1,3,0,3450,-9,1,0,1758,20,0
STU_067,0,136,9,0,59,1,0,0,0,-77,-8,0,0,98,9,0
STU_068,0,150,3,0,128,3,2,1,1,-22,0,0,0,139,3,0
STU_069,0,100,7,0,83,9,0,0,1,-17,1,0,0,92,9,0
STU_070,0,178,2,0,119,5,2,1,1,-59,2,0,0,149,5,0
STU_071,2,3295,39,1,7765,13,2,2,0,4470,-26,1,0,5530,39,0
STU_072,0,161,1,0,31,0,0,1,1,-130,0,0,0,96,1,0
STU_073,0,127,3,2,5759,14,0,0,1,5631,10,0,1,2943,14,0
STU_074,0,60,9,1,7367,0,2,3,1,7306,-9,0,1,3714,9,0
STU_075,0,196,1,1,164,72,1,3,1,-32,70,0,1,180,72,0
STU_076,0,54,6,0,99,0,1,3,1,44,-5,0,0,77,6,0
STU_077,0,40,5,0,33,1,2,0,0,-7,-4,0,0,37,5,0
STU_078,0,88,1,0,83,2,0,1,0,-5,1,0,0,86,2,0
STU_079,0,11,3,0,157,7,1,5,1,145,4,0,0,84,7,0
STU_080,0,195,5,0,83,1,0,3,0,-112,-3,0,0,139,5,0
STU_081,0,117,1,0,139,8,2,0,1,21,6,0,0,128,8,0
STU_082,2,606,61,1,1815,34,1,0,0,1209,-27,1,0,1210,61,0
STU_083,0,131,9,0,48,0,1,1,1,-83,-9,0,0,90,9,0
STU_084,0,99,2,2,6883,25,0,4,1,6783,22,0,1,3491,25,0
STU_085,0,6,1,0,17,9,1,1,0,10,7,0,0,12,9,0
STU_086,0,122,4,1,1494,34,1,1,0,1371,29,0,1,808,34,0
STU_087,1,6670,35,1,3892,21,1,0,0,-2778,-14,1,0,5281,35,0
STU_088,0,83,2,1,684,84,1,2,1,600,81,0,1,384,84,0
STU_089,0,151,0,0,101,3,2,3,1,-50,2,0,0,126,3,0
STU_090,0,45,5,1,294,25,1,1,0,248,19,0,1,170,25,0
STU_091,0,44,9,0,141,2,0,3,1,96,-7,0,0,93,9,0
STU_092,1,1299,10,1,2648,55,1,4,0,1349,45,1,0,1974,55,0
STU_093,0,74,4,0,146,2,2,0,0,71,-1,0,0,110,4,0
STU_094,0,169,9,0,82,4,1,1,1,-87,-5,0,0,126,9,0
STU_095,0,165,6,1,2874,69,2,1,0,2708,62,0,1,1520,69,0
STU_096,0,76,7,2,3391,57,1,3,0,3314,49,0,1,1734,57,0
STU_097,0,117,5,0,84,5,1,2,0,-33,0,0,0,101,5,0
STU_098,1,470,72,0,119,9,1,2,0,-351,-62,0,0,294,72,0
STU_099,0,48,6,0,189,2,0,3,0,140,-4,0,0,119,6,0
STU_100,1,1240,38,2,542,23,0,1,0,-698,-15,1,1,891,38,0
STU_101,0,194,6,0,181,6,0,4,1,-13,0,0,0,188,6,0
STU_102,0,123,7,0,11,6,1,1,0,-112,-1,0,0,67,7,0
STU_103,0,196,2,0,62,0,1,0,0,-134,-2,0,0,129,2,0
STU_104,1,108,56,0,58,6,1,2,0,-50,-49,0,0,83,56,0
STU_105,0,140,7,0,125,3,2,3,0,-15,-4,0,0,133,7,0
STU_106,0,44,2,0,26,7,0,1,1,-18,4,0,0,35,7,0
STU_107,0,52,5,0,176,8,1,3,1,123,2,0,0,114,8,0
STU_108,0,102,2,1,1364,26,2,4,0,1261,23,0,1,733,26,0
STU_109,0,63,8,0,130,0,0,1,1,66,-8,0,0,97,8,0
STU_110,2,3708,13,0,92,6,0,5,1,-3616,-6,0,0,1900,13,0
STU_111,2,1745,7,1,1818,16,0,0,1,73,9,1,0,1782,16,0
STU_112,0,7,6,0,166,2,0,0,0,158,-3,0,0,87,6,0
STU_113,1,8000,11,0,100,4,2,0,0,-7900,-6,0,0,4050,11,0
STU_114,0,98,5,2,4754,101,2,3,0,4655,95,0,1,2426,101,2
STU_115,0,18,2,1,711,92,1,2,1,692,89,0,1,365,92,0
STU_116,0,34,3,1,364,120,2,0,0,329,116,0,1,199,120,0
STU_117,0,20,3,1,2001,80,2,1,1,1980,76,0,1,1011,80,0
STU_118,2,699,101,1,4196,13,0,2,0,3497,-88,1,0,2448,101,0
STU_119,0,18,9,0,16,9,2,0,0,-2,0,0,0,17,9,0
STU_120,0,150,0,0,71,6,1,3,1,-79,5,0,0,111,6,0
