student_id,t1_status,t1_outstanding,t1_days_late,t2_status,t2_outstanding,t2_days_late,income_encoded,sibling_count,transport_user,outstanding_growth,days_late_trend,both_terms_late,escalating,avg_outstanding,max_days_late,label
STU_001,0,139,10,0,129,4,0,0,0,-10,-6,0,0,134,10,0
STU_002,0,139,11,0,158,9,1,1,0,18,-1,0,0,149,11,0
STU_003,0,149,0,0,4,7,0,0,0,-145,7,0,0,77,7,0
STU_004,1,4046,104,2,2914,82,1,0,1,-1132,-22,1,1,3480,104,0
STU_005,0,176,6,0,123,9,0,2,0,-53,2,0,0,150,9,0
STU_006,2,403,60,0,3,8,2,0,0,-400,-51,0,0,203,60,0
STU_007,0,64,1,0,69,0,1,2,0,4,-1,0,0,67,1,0
STU_008,0,198,5,0,44,7,0,0,1,-154,1,0,0,121,7,0
STU_009,0,111,3,0,76,8,1,1,0,-35,5,0,0,94,8,0
STU_010,0,101,5,0,26,3,1,1,1,-75,-1,0,0,64,5,0
STU_011,0,19,6,2,1211,111,2,1,1,1191,104,0,1,615,111,0
STU_012,0,198,6,0,121,9,0,0,0,-77,2,0,0,160,9,0
STU_013,1,393,19,1,8000,41,2,2,1,7607,22,1,0,4196,41,0
STU_014,2,8000,90,2,8000,120,2,3,1,0,30,1,0,8000,120,2
STU_015,0,153,7,0,143,2,0,1,1,-10,-5,0,0,148,7,0
STU_016,1,3117,20,0,72,5,0,1,0,-3045,-14,0,0,1594,20,0
STU_017,1,5252,24,2,3141,37,2,0,1,-2111,13,1,1,4196,37,0
STU_018,1,2795,16,1,4463,65,1,2,1,1668,49,1,0,3629,65,0
STU_019,0,201,3,0,133,4,1,3,1,-68,0,0,0,167,4,0
STU_020,0,121,10,2,106,120,2,1,0,-15,109,0,1,114,120,0
STU_021,0,128,2,0,131,1,0,1,0,2,-1,0,0,130,2,0
STU_022,0,133,2,0,130,5,1,1,0,-3,3,0,0,132,5,0
STU_023,1,895,9,2,8000,13,0,2,0,7105,4,1,1,4448,13,0
STU_024,1,667,28,1,945,1,0,2,0,278,-27,1,0,806,28,0
STU_025,0,217,10,0,191,7,0,2,1,-26,-3,0,0,204,10,0
STU_026,0,131,0,0,188,7,0,1,1,56,7,0,0,160,7,0
STU_027,0,186,4,0,103,0,2,4,0,-83,-4,0,0,145,4,0
STU_028,1,4601,6,1,6539,69,1,2,0,1938,63,1,0,5570,69,0
STU_029,0,215,11,0,97,3,1,0,0,-118,-8,0,0,156,11,0
STU_030,0,131,8,1,1404,5,2,3,0,1272,-3,0,1,768,8,0
STU_031,0,116,10,0,69,5,2,0,0,-47,-5,0,0,93,10,0
STU_032,1,2873,28,1,7077,15,1,2,0,4204,-13,1,0,4975,28,0
STU_033,0,66,8,0,153,0,2,1,0,86,-8,0,0,110,8,0
STU_034,1,3727,117,1,1702,50,1,1,0,-2025,-67,1,0,2714,117,0
STU_035,0,161,4,0,151,1,0,3,1,-10,-3,0,0,156,4,0
STU_036,2,5840,64,2,3525,120,1,1,0,-2315,56,1,0,4682,120,0
STU_037,0,155,6,0,44,7,1,4,0,-111,0,0,0,100,7,0
STU_038,1,1916,120,1,1937,16,2,0,1,21,-104,1,0,1926,120,0
STU_039,2,8000,120,1,7607,23,1,3,1,-393,-97,1,0,7804,120,0
STU_040,0,58,3,0,142,7,0,1,0,83,3,0,0,100,7,0
STU_041,0,21,7,0,176,0,0,3,0,154,-7,0,0,99,7,0
STU_042,2,8000,12,1,7132,94,2,4,0,-868,82,1,0,7566,94,2
STU_043,0,18,2,0,164,2,0,1,1,145,0,0,0,91,2,0
STU_044,0,233,4,1,214,12,0,1,0,-19,7,0,1,224,12,0
STU_045,0,14,11,1,1665,3,1,1,0,1650,-8,0,1,840,11,0
STU_046,0,72,5,0,136,6,2,1,1,63,0,0,0,104,6,0
STU_047,0,116,3,0,81,4,2,0,0,-35,0,0,0,99,4,0
STU_048,2,2470,36,1,2332,12,1,4,0,-138,-24,1,0,2401,36,0
STU_049,0,213,11,0,184,9,0,1,1,-29,-1,0,0,199,11,0
STU_050,1,1290,22,1,4526,47,1,2,1,3236,25,1,0,2908,47,0
STU_051,0,62,10,0,46,8,1,0,0,-16,-2,0,0,54,10,0
STU_052,2,8000,120,1,8000,73,2,2,1,0,-47,1,0,8000,120,0
STU_053,1,906,120,0,159,3,1,2,0,-747,-116,0,0,532,120,0
STU_054,0,124,7,0,149,5,0,0,0,24,-2,0,0,137,7,0
STU_055,0,207,4,0,142,0,0,1,0,-65,-3,0,0,175,4,0
STU_056,0,203,9,0,195,8,1,2,0,-8,0,0,0,199,9,0
STU_057,0,126,0,0,9,2,1,0,0,-117,1,0,0,68,2,0
STU_058,1,2648,11,1,8000,5,2,1,0,5352,-6,1,0,5324,11,0
STU_059,0,34,0,1,1606,12,1,1,0,1571,11,0,1,820,12,0
STU_060,0,89,2,0,147,8,1,0,0,57,6,0,0,118,8,0
STU_061,1,7335,55,1,8000,120,2,1,0,665,65,1,0,7668,120,0
STU_062,1,5416,65,2,7844,49,1,2,0,2428,-16,1,1,6630,65,0
STU_063,0,162,5,1,629,8,0,3,1,466,2,0,1,396,8,0
STU_064,0,231,2,0,24,0,2,4,1,-207,-2,0,0,128,2,0
STU_065,0,206,2,0,87,8,0,1,0,-119,5,0,0,147,8,0
STU_066,0,136,10,0,48,2,0,1,0,-88,-7,0,0,92,10,0
STU_067,1,2085,40,2,8000,107,2,1,0,5915,67,1,1,5042,107,0
STU_068,1,25,10,1,308,10,0,2,0,283,0,1,0,166,10,0
STU_069,0,4,0,0,104,0,1,5,0,99,0,0,0,54,0,0
STU_070,1,486,11,1,532,3,1,2,0,46,-8,1,0,509,11,0
STU_071,0,74,9,1,15,17,1,1,1,-59,7,0,1,45,17,0
STU_072,2,2979,120,2,8000,120,2,2,1,5021,0,1,0,5490,120,2
STU_073,0,194,0,1,272,28,0,1,1,77,27,0,1,233,28,0
STU_074,2,5313,31,1,8000,120,2,3,0,2687,89,1,0,6656,120,2
STU_075,0,112,0,1,558,42,1,1,0,445,41,0,1,335,42,0
STU_076,0,5,7,0,172,0,0,2,0,166,-6,0,0,89,7,0
STU_077,0,131,0,2,266,26,1,4,1,134,25,0,1,199,26,0
STU_078,0,130,0,0,25,2,1,0,0,-105,2,0,0,78,2,0
STU_079,0,4,8,1,108,24,0,3,0,103,15,0,1,56,24,0
STU_080,2,8000,21,2,8000,68,1,2,1,0,47,1,0,8000,68,0
STU_081,0,246,5,0,155,1,1,1,1,-91,-4,0,0,201,5,0
STU_082,0,167,1,1,876,33,0,1,0,708,31,0,1,522,33,0
STU_083,0,66,9,0,48,8,0,0,0,-18,0,0,0,57,9,0
STU_084,0,210,9,0,54,7,0,1,0,-156,-1,0,0,132,9,0
STU_085,0,23,11,0,52,5,0,2,0,28,-5,0,0,38,11,0
STU_086,0,185,10,0,29,5,2,1,0,-156,-5,0,0,107,10,0
STU_087,0,227,9,0,69,7,1,2,0,-158,-2,0,0,148,9,0
STU_088,0,118,3,0,161,7,2,2,0,42,3,0,0,140,7,0
STU_089,1,4373,120,1,6391,53,2,1,1,2018,-67,1,0,5382,120,0
STU_090,0,229,1,0,134,5,1,2,1,-95,3,0,0,182,5,0
STU_091,2,2280,13,2,4183,75,0,1,1,1903,62,1,0,3232,75,0
STU_092,1,3801,28,2,8000,13,2,0,1,4199,-15,1,1,5900,28,0
STU_093,1,315,4,1,444,13,0,1,1,129,9,1,0,380,13,0
STU_094,0,145,1,0,164,5,0,1,1,18,4,0,0,155,5,0
STU_095,1,8000,67,2,8000,120,1,4,1,0,53,1,1,8000,120,2
STU_096,0,173,9,0,85,4,1,1,1,-88,-4,0,0,129,9,0
STU_097,2,8000,120,2,8000,120,1,1,1,0,0,1,0,8000,120,2
STU_098,0,89,4,0,88,7,0,1,0,-1,2,0,0,89,7,0
STU_099,1,182,7,1,180,11,1,3,1,-2,4,1,0,181,11,0
STU_100,0,28,1,2,2457,98,2,1,1,2428,96,0,1,1243,98,0
STU_101,0,8,3,0,27,9,0,2,0,18,6,0,0,18,9,0
STU_102,0,80,1,0,103,3,0,1,0,22,1,0,0,92,3,0
STU_103,0,31,6,0,102,5,2,1,0,70,0,0,0,67,6,0
STU_104,0,200,8,2,7748,63,1,0,1,7547,54,0,1,3974,63,0
STU_105,2,5861,6,1,6853,54,2,0,0,992,48,1,0,6357,54,0
STU_106,1,1222,47,2,8000,42,0,3,0,6778,-5,1,1,4611,47,0
STU_107,2,406,0,0,7,0,1,0,1,-399,0,0,0,206,0,0
STU_108,0,241,8,0,60,9,1,2,0,-181,1,0,0,151,9,0
STU_109,0,68,6,0,104,3,0,3,0,35,-2,0,0,86,6,0
STU_110,2,8000,14,2,4148,120,2,2,0,-3852,106,1,0,6074,120,0
STU_111,0,71,7,1,836,11,1,2,1,764,3,0,1,454,11,0
STU_112,0,184,9,1,5630,104,2,2,0,5445,94,0,1,2907,104,0
STU_113,1,5178,31,2,8000,32,1,1,1,2822,1,1,1,6589,32,0
STU_114,1,1587,6,0,111,8,1,1,1,-1476,2,0,0,849,8,0
STU_115,0,165,7,0,132,8,0,4,1,-33,0,0,0,149,8,0
STU_116,1,129,23,1,4884,8,1,2,0,4755,-15,1,0,2506,23,0
STU_117,2,3747,49,2,8000,120,2,2,0,4253,71,1,0,5874,120,2
STU_118,0,56,1,0,67,1,2,2,0,10,0,0,0,62,1,0
STU_119,1,2341,21,1,3059,6,2,1,0,718,-15,1,0,2700,21,0
STU_120,2,3797,0,1,2524,51,1,0,0,-1273,51,1,0,3160,51,0
STU_121,0,148,6,1,1025,120,1,2,1,876,113,0,1,587,120,0
